sex,Length,Diameter,height,whole-weight,shucked-weight,viscera-weight,shell-weight,rings
I,48,35,13,13.3,6.2,2.7,3.4,3
I,80,63,18,64.9,30.2,14.6,17.6,8
I,55,40,15,17.2,6.1,3.8,6,7
I,62,48,21,57.7,23.6,13,16.6,6
M,117,96,37,208,86.8,53,57,10
M,115,88,29,174,78.9,43.9,45,8
M,105,80,28,144.1,73.7,29,34.7,8
F,133,102,35,276.1,135,59.7,65,10
F,135,107,32,282,118.4,63.5,84,16
I,109,81,26,131.6,65.4,28.9,34.8,8
M,112,89,32,179.3,84,43.5,44.3,8
M,82,63,19,61.2,24.2,14.7,18,9
F,126,101,33,213,91.9,43.2,63,12
F,91,70,24,91.1,38.9,20.9,27.5,7
I,81,61,18,56.5,22.8,11.5,19,7
I,96,71,23,94.5,41.3,22.4,26.4,8
M,111,92,32,172,66.9,38.7,55,10
I,115,89,34,160.3,69.5,29.3,50,9
I,96,76,25,104.6,42.1,20.9,35,15
F,121,90,33,244.5,71.4,40.4,77,13
I,62,43,15,25.5,11.3,5.5,7.2,7
M,118,97,24,182.2,78,36.4,58,16
F,93,78,22,127.1,36.3,31.4,45,13
F,133,107,38,299.2,115.5,56.3,95,17
I,130,104,30,247.6,109.9,59.2,66.1,10
F,116,95,31,194.8,86.1,46,57,10
F,124,102,30,291.2,116.2,57.5,64,13
I,106,84,24,119.3,51.1,28.2,35.4,7
M,123,95,30,207.5,95.2,46.5,56.6,9
F,134,101,35,202.9,87.5,54.2,74.9,10
F,125,97,35,274.9,146.7,54.3,66.4,9
M,73,59,16,51.1,19.4,8.6,20,7
M,114,90,27,204,109.2,40.8,50,9
M,94,73,27,104.4,47.9,30.5,29,10
M,119,96,37,235.7,105.2,59.5,62.8,10
M,87,67,22,87.7,41.5,14.3,26.3,7
M,120,102,37,257,121.9,54.9,63,9
M,152,115,38,365.8,140.7,77.2,112,14
F,120,96,36,212.9,89.9,49.1,65,10
F,125,95,32,266.7,121,57.5,63.8,10
M,118,95,29,210.6,88.3,52.4,65,15
I,86,70,21,73.2,34.1,17.1,22,6
I,54,41,10,16.8,6,3.7,5.8,6
F,82,61,20,72.6,34.7,13,22,11
M,118,94,30,199.1,96.2,46.4,48,8
I,88,73,22,89.3,42.6,17.8,22.7,9
F,112,84,36,332.9,155.1,70,90.5,9
I,103,80,25,118.5,53,23.5,33.6,9
F,142,112,36,330.4,147,76.2,90.5,11
F,106,81,26,127.1,52.7,31.3,37,9
M,144,115,46,453.9,176.7,79.7,133,16
F,163,130,50,451,178.1,84,159.5,14
I,55,35,18,46.3,19.2,11.4,14.1,5
I,77,56,17,43.5,19.4,7.6,13.4,8
I,107,83,30,115.3,71.9,27,45,8
F,99,76,24,114.6,53.1,25.7,28.8,7
I,98,75,25,108.9,55.8,23,26,8
M,103,79,24,129.2,57,27.3,34.4,9
F,127,99,36,319.2,123.4,63.4,74,11
I,72,50,23,93,42,21.1,25.6,7
F,149,114,43,450,231.3,89.2,111.6,9
M,129,100,35,267.5,110.8,61.6,83,10
I,55,39,18,22.5,10.9,5.9,7.1,6
F,92,73,25,95.7,41.2,20.9,28.2,8
M,114,88,19,165.4,67.9,44.3,47,8
M,112,91,31,159.4,68,38,48.5,11
I,111,85,29,158.1,69.7,35.3,45,9
F,135,110,38,310.2,142.1,73.7,82.4,13
I,78,58,20,56.9,25.1,12.7,16.2,7
M,137,102,33,309,137.2,75.5,81.1,10
M,90,67,28,95.6,37.3,23,32,11
M,82,60,20,60.2,24.8,13.8,18,9
F,128,101,35,263.7,123.7,60.4,66.3,9
F,95,76,29,114,33.4,23.6,37.4,11
M,97,74,26,105.2,49.7,21,31.1,6
M,47,34,11,10.3,3.6,2.1,3.9,7
I,115,89,32,183.5,90,38.7,48,9
F,119,96,40,195,71.6,40.7,68,15
I,105,78,24,132.8,62.3,29.4,35.6,9
M,96,74,20,102.7,48.6,20.3,27,8
M,101,79,27,118.3,57.6,26.3,37,12
F,120,95,36,236.1,86.9,49.5,85,19
F,103,80,23,115.6,38.2,28.9,34,9
M,81,61,17,52.1,22.9,11.9,17,8
I,80,63,17,53.5,23.2,11.7,15.3,6
F,140,115,40,347.3,155.1,79.3,92.2,11
I,92,72,20,92.7,46.5,18.6,23,7
I,106,86,32,144.9,64.2,25.5,48,9
M,123,91,30,186.7,76.4,49.4,52.3,10
I,97,75,25,112.4,50.1,26.9,30.5,8
M,107,84,25,152.8,62.4,30.1,53,11
F,121,99,34,247.7,105.6,49.3,78,14
M,122,97,32,202.9,106.3,42.4,48.3,8
M,120,96,33,183.3,82.7,39.3,54.5,9
F,76,61,19,56.3,25.1,10.5,18,8
F,142,113,39,363.4,157,98.4,98,11
M,127,97,36,235.9,95.7,55.5,71,10
M,133,104,35,274.5,121.2,64,79,12
I,79,60,18,57.1,27.7,12.5,15.4,5
I,117,92,29,169.3,67.8,33.4,59,10
M,110,86,30,174.9,82.6,38.1,49.6,9
M,120,91,34,238.3,139.2,47.9,48,8
M,128,102,35,273.6,103,53.2,114,21
F,127,101,34,252.7,102.4,64.4,71,9
M,97,74,31,193.6,83.8,49.1,47.3,9
I,74,56,18,43.6,19.9,10.9,12.3,7
F,104,82,31,145.4,58.2,36.7,47,12
M,116,98,26,226.7,117.2,51.3,47.4,9
M,155,114,44,406.4,147,95.1,131.7,17
I,106,79,25,124.7,59.5,21.6,39,11
M,102,82,29,159.2,77.3,36.3,39.1,8
F,116,92,27,185.2,80.5,41.6,55,8
I,70,54,18,41.1,15,11.5,12.4,6
F,116,90,47,214.2,60,41.2,79,14
I,43,33,11,11.8,5.3,2.5,3.7,5
F,131,103,31,261.8,104.8,69.2,77,11
I,59,43,14,24.2,9.4,3.1,8.1,6
F,120,94,40,206.2,78.4,40.7,58,15
I,57,44,13,19.2,8.1,4.1,6,5
F,95,75,28,100.2,38.4,23.5,35,13
M,100,74,30,212.3,98.8,44.6,59.2,9
I,73,56,18,39.2,17.3,7.2,12.1,7
M,126,96,30,235.7,103.7,49.6,64.7,8
M,109,82,29,174.6,60.7,39.2,62,18
M,113,88,25,160.4,71.9,36.5,43,9
F,92,66,30,106.5,41.7,36.1,25,10
F,121,101,36,286.8,145.7,52.8,86.2,11
M,128,117,39,329.4,144.5,66.2,94.2,12
I,108,85,27,137.2,69.5,30.9,42.6,8
I,74,54,19,46.4,26.5,8.2,12.3,6
M,93,72,21,86.2,34.4,21.4,35,9
M,125,94,35,235.8,121,51.6,54.2,9
F,98,74,28,117,48.6,23,39,10
F,105,86,33,143.4,57.8,34.9,39,10
F,116,100,33,185,74,37,60.1,10
I,79,65,21,61.2,22.2,14.7,19,8
F,126,96,32,239.8,105.3,67,63,11
F,126,96,33,252.3,110.1,55.4,77.7,10
M,134,108,35,296.4,147.8,58.5,73,10
I,115,88,30,196.6,97.2,43,47.8,8
M,105,81,32,158.4,63.2,29.1,56,13
F,116,85,30,168.8,72.9,37,54.1,9
I,89,72,22,84.7,36.4,15.3,28,9
M,129,100,36,292.2,119.7,48.5,87.8,11
M,136,108,42,357.7,166.9,81.6,87.4,13
I,84,61,20,68.3,32.9,15.5,17.2,7
M,114,92,34,180.7,81.5,38.7,42.8,7
I,75,56,16,46.9,22.5,9.1,13.4,6
I,74,55,16,46.5,18.6,11.2,14.4,6
I,84,65,25,78.3,31.5,20.5,23,9
I,97,75,28,104.2,40,24.6,34,8
I,60,45,15,26.9,11.4,5.6,8.8,5
F,122,92,29,223.7,95.6,58.9,59.7,10
M,116,90,28,202.6,76,43.2,72,14
I,93,65,28,152.3,72.4,30.7,41.8,10
M,106,83,28,144.8,62.1,33.5,41,10
F,127,100,38,258,118.6,60.9,70.4,8
F,126,101,39,261.2,103.2,66.1,75,9
I,77,58,18,47.3,20,10.1,15.2,8
F,130,100,38,292.8,128.3,67.8,84.9,9
I,111,86,25,140.1,67.9,27.1,41.9,8
I,92,70,22,80,35.2,16.6,24.1,7
F,128,101,38,255.3,96.7,65.6,80,12
M,127,99,34,273.9,131.4,61.1,73,10
M,119,91,29,188.4,86,36.4,55.4,11
I,38,26,9,5.3,1.8,1,1.8,5
I,108,84,28,145.3,64.1,28.9,45.8,9
M,110,85,31,183.5,55.5,48.6,67,13
I,79,60,18,55.8,26.8,9.8,15,8
M,128,103,36,249.4,109.5,58.5,73.7,10
M,130,103,36,292.6,131.6,62.7,82.3,11
I,94,75,25,104.5,45.3,20.8,32.4,8
M,126,96,33,257.2,120.8,54.2,70,8
I,87,69,24,89.5,44.2,22.4,25,7
I,84,66,20,70.4,32.7,17.8,20,9
M,106,87,27,147.3,65.5,26.3,44,12
I,70,50,15,33.9,16.7,7.1,8.2,6
I,89,70,26,83.9,33.9,18.9,23.9,7
I,79,58,19,60.8,25.4,16.8,15.4,6
F,77,60,20,54.5,22.3,11.4,16,6
M,131,118,40,309.1,130.8,75.3,83,11
F,106,79,29,155,61.6,33.8,51,7
M,144,113,29,237.4,138.2,38.9,53.7,8
F,142,111,34,294,107.5,76,86.2,12
M,112,84,39,161.7,60.5,35.9,57,14
M,122,90,30,174.2,81.4,36.7,50,10
F,105,84,32,151.2,54.9,34.6,55,9
F,134,104,38,264,104.7,61.9,85.5,13
M,120,95,38,217.5,80.6,53.1,65,14
I,112,89,31,174.7,60.1,41.8,55,16
F,82,63,22,64.2,25.1,13.1,19,10
F,112,91,25,188.6,68.8,25.8,75,21
M,134,105,33,321.7,136.4,62.9,80.1,11
F,80,67,23,86.7,42.1,24.1,24,10
F,129,100,32,249.3,109.5,65.4,60,10
M,102,81,25,138.5,65.4,31,36.1,7
M,94,70,20,95.5,37.7,17.7,35,8
F,97,74,23,95.7,39.9,19.1,25.8,7
I,132,105,36,338.7,120.5,80.1,84,15
I,68,52,18,35.8,15.2,10.5,11,6
M,124,97,31,205.9,85,46.3,67,12
I,112,85,28,183.5,80.1,39.5,52,10
M,110,87,28,152.5,65.4,33.7,51.8,10
F,116,91,32,184.3,62.4,39.2,60,17
F,133,106,37,279.1,91.2,64.1,98,15
I,71,52,18,38.5,15.4,7.6,13,8
M,118,95,28,195.4,92.5,40.5,55,10
M,127,99,39,234.4,89,62.3,69.5,11
M,117,92,37,184.4,72.7,42.6,57,10
I,103,78,24,113,47,27,35.8,9
F,92,72,23,95.1,42.1,21,32,8
F,125,99,32,246.8,126.7,38.4,70,13
F,131,100,44,271.8,128.4,65.1,81,13
F,130,100,34,280.9,138.8,63.6,64.7,11
I,95,72,22,98.4,42.2,22,30,8
F,87,67,22,76,33.9,17.2,22,9
F,111,84,28,173.6,66,48.6,42,13
M,139,105,35,348.4,139.2,77.8,101,12
M,95,71,25,92.5,37.2,21.4,29,9
F,104,82,25,139.7,58.9,32.5,43,10
I,95,72,27,87.1,39.2,18.5,25,8
F,101,82,30,126.9,48.6,26.7,43,17
I,77,58,18,52.3,22.2,11.9,14.9,9
I,84,64,23,75.2,33.8,18.4,20,5
F,135,106,35,289.3,135.5,66,77.8,10
M,101,80,27,144.6,75.4,29.8,35.6,7
F,76,65,22,62.1,24,14.8,21,10
M,127,99,31,272.7,116.6,59.7,59,10
F,100,77,21,99.6,35.9,21.9,34,17
M,109,82,28,125,44.6,32,47,13
M,110,82,30,157,56.4,37.2,55,12
I,106,83,22,114.9,50.5,24.7,37.8,9
F,102,79,24,123.5,52.4,24.4,38.6,12
I,41,30,13,8,4,2.2,2.6,4
M,120,94,32,202.4,88.2,40.3,61,10
I,63,47,11,30.2,13,5.4,7.8,6
M,111,88,27,180.5,76.1,42.1,56,13
M,111,87,29,193.7,99.7,33.6,47.7,9
I,94,69,24,73.7,30.5,12.3,25,8
M,124,97,41,243.8,77.5,50.1,77,14
M,70,53,18,39.4,14.6,7.3,15.4,7
I,87,65,21,67,27.2,13,23,8
I,113,87,29,168.9,79.5,31.6,51,9
F,129,101,33,286.5,136.8,61.6,67.2,8
I,94,71,29,89.7,31.2,20.4,24.6,7
I,96,76,25,124.9,67.9,21.7,33.3,8
M,124,102,35,323,102.1,38.4,135,12
F,109,88,27,183.7,85.8,40.3,47.5,10
F,81,62,24,61.9,27.6,11.6,19,13
F,134,110,38,278.1,108.5,60.7,80,12
I,88,70,22,76.1,31.5,17.9,23,6
I,87,66,21,67,31.2,11.1,21,8
I,80,62,20,61.2,26,12,18.8,6
F,132,103,34,267.4,123,62.5,71.5,10
I,73,54,17,44.5,18.7,10.5,13.2,7
M,130,104,42,335.7,133.3,61.6,92,11
F,127,97,33,253.9,112.7,61.3,67.9,11
M,105,77,20,102.3,49.2,20.1,29.1,8
M,128,101,36,259.4,118,62.5,72.6,11
F,95,70,23,97.4,38.8,29.1,25,13
M,122,94,31,206.5,99.4,43.5,55.7,9
M,88,71,25,95.5,26.4,16.3,38,9
M,132,106,34,278.1,118.1,42.4,90.6,15
F,117,84,31,206.8,87.4,44.5,64,11
I,83,65,20,64.3,30.7,11.9,21,10
F,142,108,41,316.1,160.4,57.4,87,10
F,104,85,33,197.7,79.2,45,64,16
F,144,113,34,322.6,144.6,65.1,98.9,12
I,62,47,14,30.2,12.6,8.1,9,6
F,119,95,34,249.4,96,45,85,20
F,87,70,24,91.7,38.4,20,26,11
M,125,100,37,248.5,119.9,49.6,67,10
F,91,71,226,118.8,66.4,23.2,26.7,8
M,108,84,38,137.1,58.6,32.6,76,10
M,130,102,32,276.7,127.7,58.1,73.3,9
M,131,102,43,356.7,177.7,81.9,83.9,11
I,78,62,20,60.4,23.2,12.8,23,11
F,120,95,32,205.3,97,49.9,51.3,9
I,90,71,24,82.4,22.9,13.3,32,19
M,123,99,40,243.8,112.8,45.4,77.7,10
M,119,92,31,206,85.5,41.4,66.1,10
F,128,101,33,244.7,104.3,53.9,72,10
I,87,65,20,73.2,34.8,14.5,21.8,7
F,105,78,27,120.1,45.3,26.2,42,16
I,92,68,18,76.8,35.9,13.6,22,8
M,130,105,35,307.3,137.3,71.7,81,11
M,111,81,38,281.2,122.3,68.4,77.8,10
M,90,69,21,82.3,36,22.5,27,7
M,126,106,36,255.9,123.6,51.2,63,9
F,135,102,37,294.6,125.9,60.5,84.9,11
I,80,58,20,51.6,20.8,11.8,16.3,7
F,85,67,19,64.4,24.1,12.2,25,10
M,100,80,25,134.5,67.2,24,36.5,7
M,116,91,30,222.8,95.3,43.1,53,8
M,128,97,32,201.2,91.2,44.9,56.7,9
M,124,95,37,265,120.9,65,66,13
I,104,76,25,110.9,57.6,25.9,33.4,8
F,89,66,21,90.5,36,20.6,24.6,9
F,122,94,29,230.6,80.6,59.2,64,14
M,127,100,36,230.8,88.1,46.3,77.4,9
F,104,80,26,124.9,43,41.3,34,15
M,144,113,40,421.1,203.4,72.6,98.8,12
F,140,110,34,336.8,150.7,65.3,64,11
M,114,91,31,166.4,71.7,34.8,55.4,11
I,67,51,17,35.7,14.2,8.1,11,9
I,116,89,30,177.3,76.6,41.8,51,11
I,51,38,14,16.3,5.6,3.2,6.2,5
F,113,90,35,247.3,106.1,49.1,61.6,10
F,144,115,36,334.1,146.4,72.1,100.2,12
I,53,39,12,18.4,6.9,5,4.9,6
M,104,80,29,155.3,70.5,36.9,37,9
M,114,86,24,212.3,69.6,33.4,62,15
F,132,106,36,303.5,155.3,60.4,80.2,10
I,93,69,21,80.3,48.4,6.9,21.8,6
I,95,72,29,126.5,56.5,27.4,38,8
I,86,68,21,88.1,47.7,14.9,21.5,6
F,112,88,28,185.7,76.5,37.6,60,11
F,113,90,39,200.7,81.2,50.1,57,15
F,98,73,26,136.7,33,26.3,41,21
M,125,98,35,266.5,114.1,54.2,81,10
I,90,70,28,94.8,42,21.8,25.5,16
F,136,101,34,268.7,131.4,59.4,71,12
F,117,92,33,211.6,97.2,50,58.8,9
F,100,80,30,161.7,54.6,22.4,59,13
I,72,54,18,41.5,19.6,7.8,12.4,6
I,83,67,20,71.6,33.8,13.4,21,7
F,140,117,37,361.5,141.1,64.3,95,29
F,120,97,33,228.1,117.4,43.5,57.6,9
F,125,97,35,272.4,135.3,52.3,74.1,10
M,117,93,31,182.9,91.1,39.3,47,9
M,111,88,30,167.6,83.1,29.2,46,8
I,116,92,28,185.3,82.7,36.9,54,10
F,125,100,35,254.6,112.8,60.4,74.8,9
F,128,100,33,232.7,110.8,47.8,64,11
M,67,50,18,36.2,15.1,8.3,12,7
F,114,90,33,180.6,66.1,36.9,59,14
I,110,89,25,134.4,57.6,27.3,42,11
F,106,84,28,125.4,58.1,23.3,36.6,8
F,113,89,31,165.2,68.2,41.1,49.5,10
M,120,94,31,207.2,87.5,39.2,65,20
F,94,73,24,116.4,58,18.4,29.2,8
I,79,64,20,61.5,29.8,10.7,18,8
F,133,100,35,287.1,128.6,69,74,9
I,92,69,21,89.8,39.2,18.9,25.3,7
I,76,58,20,47.4,21.6,7.9,16.4,6
F,137,108,43,340.5,132.8,73.1,94.7,14
I,106,84,37,150.4,59.8,31.2,41,20
F,116,86,34,296,130.7,64.8,83.1,10
I,113,84,31,148.6,62,37.2,46.2,9
M,98,76,27,108.3,43.5,19,38,11
F,143,105,37,312,133.1,76.6,81,11
I,56,42,17,21.3,7.8,5.9,6,4
F,93,76,27,115.8,41.6,21.9,44,14
M,65,46,18,29.4,12,6.8,9,4
F,122,92,31,191.4,85.1,39.5,53,8
F,106,80,33,154.4,57.1,39.5,46,12
F,90,72,22,89.4,40.6,16.4,26,12
I,90,67,23,78.7,39,14.2,22,7
F,100,80,25,115.3,47.9,25.2,37,10
I,110,85,27,146.1,66.5,30.9,43,9
M,109,88,24,171.3,69.5,34.3,48,12
F,106,82,29,165.1,75,40.8,49,9
M,94,74,24,115.9,58.6,45.4,28,9
I,117,84,29,134.7,57.9,26.9,44,9
M,116,89,30,190.5,86.3,38.9,57.4,11
I,77,57,17,48.8,24.3,8.9,13.6,8
I,90,66,21,74.3,37.3,15.7,19.5,7
M,114,91,35,204,96.1,42.9,58,9
I,104,79,25,116.1,48.9,29.2,33,9
M,125,99,35,258.7,116.1,63.4,71,9
M,113,87,37,196.3,65.8,27.2,78,13
F,128,100,34,303.5,138.6,65.2,81.8,11
I,115,86,26,148.5,57.9,40.1,44,8
F,124,95,32,264.9,137.3,46.6,65.5,9
F,114,89,31,203.4,105.3,40.5,53,10
I,90,66,23,73,28,16.5,24.9,8
I,99,75,24,117.8,61.5,24.3,28.1,8
M,101,78,24,130.6,66.3,27.7,33.4,9
M,142,113,40,320.2,141.2,64.2,90,11
F,85,69,22,73.3,25,16.2,23.4,11
F,118,93,34,208.5,92.7,48,54,10
M,100,77,24,126.7,46.1,25,47,14
M,95,74,25,129.8,69.4,27.2,28.4,8
I,94,69,23,97.7,40.1,21.6,33.2,11
F,123,95,31,205.4,89.4,50,57,9
I,74,56,17,43.4,21.9,7,12.4,6
F,134,105,39,274,121.3,59.1,81.4,12
I,65,50,14,34.9,17.5,7.1,8,7
M,107,82,24,136.7,62.5,33.1,31.8,8
F,123,103,34,228,86.1,44.9,84,16
M,82,65,24,74.9,31.6,16.2,25,12
M,117,90,30,209.4,86.3,55.2,63,14
I,68,50,18,35.8,15.5,6.6,11,6
F,120,95,30,201.5,88.5,44.2,56,15
M,31,23,5,4.8,1.8,1,1.5,5
F,131,101,33,273.4,116.7,70.3,79.2,10
F,123,99,33,239.6,108.3,57.3,63.7,10
F,118,95,31,194.3,74.2,47,56,11
I,86,64,22,73.5,33.5,20.4,21,8
M,128,103,16,208.4,103,35.1,35,10
M,133,105,36,285.8,134.3,58,80,12
I,112,89,33,166.4,69.1,35.8,55.8,9
F,106,85,26,143.4,42.3,33.2,51,13
M,106,82,33,146.4,37.8,34,62,11
M,122,94,33,210.4,99.6,48.4,53.4,9
F,77,63,22,57.2,24.5,12.7,16.7,10
M,127,105,37,281.3,136.8,60,74.9,10
F,150,113,43,387.6,154.7,96.5,115,11
F,105,88,30,168.5,73.7,39.7,48,12
M,56,40,16,18.3,6.6,4.3,6,5
I,94,75,21,93.6,33.3,21.6,34,10
F,106,79,23,113.7,49.8,27.5,32.2,9
I,75,56,18,43,16.8,12,11,6
I,80,58,22,65.8,37.6,9.1,16.5,6
F,125,98,22,227.2,105.3,38.3,58.5,9
I,65,48,15,30.5,14.4,12.9,8.6,6
F,142,114,39,396.1,198.5,98.5,96,12
F,131,102,32,218.4,79.2,56.5,74,14
M,51,39,13,16,6.3,3.6,5.4,8
M,115,90,27,184.3,70.8,41.8,47.3,9
I,75,55,19,45.9,19,10.9,13.2,7
F,117,90,32,215.4,99.9,57.5,50,10
I,27,26,8,5.8,2.5,1.3,1.6,4
F,121,94,31,194.8,78.6,44.8,66.9,9
M,122,96,30,240,112,49.1,56,14
